id,name,category,price,stock
1,electronics-1,electronics,1.37,7
2,clothing-2,clothing,2.74,14
3,books-3,books,4.11,21
4,home-4,home,5.48,28
5,toys-5,toys,6.85,35
6,food-6,food,8.22,42
7,electronics-7,electronics,9.59,49
8,clothing-8,clothing,10.96,56
9,books-9,books,12.33,63
10,home-10,home,13.70,70
11,toys-11,toys,15.07,77
12,food-12,food,16.44,84
13,electronics-13,electronics,17.81,91
14,clothing-14,clothing,19.18,98
15,books-15,books,20.55,105
16,home-16,home,21.92,112
17,toys-17,toys,23.29,119
18,food-18,food,24.66,126
19,electronics-19,electronics,26.03,133
20,clothing-20,clothing,27.40,140
21,books-21,books,28.77,147
22,home-22,home,30.14,154
23,toys-23,toys,31.51,161
24,food-24,food,32.88,168
25,electronics-25,electronics,34.25,175
26,clothing-26,clothing,35.62,182
27,books-27,books,36.99,189
28,home-28,home,38.36,196
29,toys-29,toys,39.73,203
30,food-30,food,41.10,210
31,electronics-31,electronics,42.47,217
32,clothing-32,clothing,43.84,224
33,books-33,books,45.21,231
34,home-34,home,46.58,238
35,toys-35,toys,47.95,245
36,food-36,food,49.32,252
37,electronics-37,electronics,50.69,259
38,clothing-38,clothing,52.06,266
39,books-39,books,53.43,273
40,home-40,home,54.80,280
41,toys-41,toys,56.17,287
42,food-42,food,57.54,294
43,electronics-43,electronics,58.91,301
44,clothing-44,clothing,60.28,308
45,books-45,books,61.65,315
46,home-46,home,63.02,322
47,toys-47,toys,64.39,329
48,food-48,food,65.76,336
49,electronics-49,electronics,67.13,343
50,clothing-50,clothing,68.50,350
51,books-51,books,69.87,357
52,home-52,home,71.24,364
53,toys-53,toys,72.61,371
54,food-54,food,73.98,378
55,electronics-55,electronics,75.35,385
56,clothing-56,clothing,76.72,392
57,books-57,books,78.09,399
58,home-58,home,79.46,406
59,toys-59,toys,80.83,413
60,food-60,food,82.20,420
61,electronics-61,electronics,83.57,427
62,clothing-62,clothing,84.94,434
63,books-63,books,86.31,441
64,home-64,home,87.68,448
65,toys-65,toys,89.05,455
66,food-66,food,90.42,462
67,electronics-67,electronics,91.79,469
68,clothing-68,clothing,93.16,476
69,books-69,books,94.53,483
70,home-70,home,95.90,490
71,toys-71,toys,97.27,497
72,food-72,food,98.64,4
73,electronics-73,electronics,0.01,11
74,clothing-74,clothing,1.38,18
75,books-75,books,2.75,25
76,home-76,home,4.12,32
77,toys-77,toys,5.49,39
78,food-78,food,6.86,46
79,electronics-79,electronics,8.23,53
80,clothing-80,clothing,9.60,60
81,books-81,books,10.97,67
82,home-82,home,12.34,74
83,toys-83,toys,13.71,81
84,food-84,food,15.08,88
85,electronics-85,electronics,16.45,95
86,clothing-86,clothing,17.82,102
87,books-87,books,19.19,109
88,home-88,home,20.56,116
89,toys-89,toys,21.93,123
90,food-90,food,23.30,130
91,electronics-91,electronics,24.67,137
92,clothing-92,clothing,26.04,144
93,books-93,books,27.41,151
94,home-94,home,28.78,158
95,toys-95,toys,30.15,165
96,food-96,food,31.52,172
97,electronics-97,electronics,32.89,179
98,clothing-98,clothing,34.26,186
99,books-99,books,35.63,193
100,home-100,home,37.00,200
101,toys-101,toys,38.37,207
102,food-102,food,39.74,214
103,electronics-103,electronics,41.11,221
104,clothing-104,clothing,42.48,228
105,books-105,books,43.85,235
106,home-106,home,45.22,242
107,toys-107,toys,46.59,249
108,food-108,food,47.96,256
109,electronics-109,electronics,49.33,263
110,clothing-110,clothing,50.70,270
111,books-111,books,52.07,277
112,home-112,home,53.44,284
113,toys-113,toys,54.81,291
114,food-114,food,56.18,298
115,electronics-115,electronics,57.55,305
116,clothing-116,clothing,58.92,312
117,books-117,books,60.29,319
118,home-118,home,61.66,326
119,toys-119,toys,63.03,333
120,food-120,food,64.40,340
121,electronics-121,electronics,65.77,347
122,clothing-122,clothing,67.14,354
123,books-123,books,68.51,361
124,home-124,home,69.88,368
125,toys-125,toys,71.25,375
126,food-126,food,72.62,382
127,electronics-127,electronics,73.99,389
128,clothing-128,clothing,75.36,396
129,books-129,books,76.73,403
130,home-130,home,78.10,410
131,toys-131,toys,79.47,417
132,food-132,food,80.84,424
133,electronics-133,electronics,82.21,431
134,clothing-134,clothing,83.58,438
135,books-135,books,84.95,445
136,home-136,home,86.32,452
137,toys-137,toys,87.69,459
138,food-138,food,89.06,466
139,electronics-139,electronics,90.43,473
140,clothing-140,clothing,91.80,480
141,books-141,books,93.17,487
142,home-142,home,94.54,494
143,toys-143,toys,95.91,1
144,food-144,food,97.28,8
145,electronics-145,electronics,98.65,15
146,clothing-146,clothing,0.02,22
147,books-147,books,1.39,29
148,home-148,home,2.76,36
149,toys-149,toys,4.13,43
150,food-150,food,5.50,50
151,electronics-151,electronics,6.87,57
152,clothing-152,clothing,8.24,64
153,books-153,books,9.61,71
154,home-154,home,10.98,78
155,toys-155,toys,12.35,85
156,food-156,food,13.72,92
157,electronics-157,electronics,15.09,99
158,clothing-158,clothing,16.46,106
159,books-159,books,17.83,113
160,home-160,home,19.20,120
161,toys-161,toys,20.57,127
162,food-162,food,21.94,134
163,electronics-163,electronics,23.31,141
164,clothing-164,clothing,24.68,148
165,books-165,books,26.05,155
166,home-166,home,27.42,162
167,toys-167,toys,28.79,169
168,food-168,food,30.16,176
169,electronics-169,electronics,31.53,183
170,clothing-170,clothing,32.90,190
171,books-171,books,34.27,197
172,home-172,home,35.64,204
173,toys-173,toys,37.01,211
174,food-174,food,38.38,218
175,electronics-175,electronics,39.75,225
176,clothing-176,clothing,41.12,232
177,books-177,books,42.49,239
178,home-178,home,43.86,246
179,toys-179,toys,45.23,253
180,food-180,food,46.60,260
181,electronics-181,electronics,47.97,267
182,clothing-182,clothing,49.34,274
183,books-183,books,50.71,281
184,home-184,home,52.08,288
185,toys-185,toys,53.45,295
186,food-186,food,54.82,302
187,electronics-187,electronics,56.19,309
188,clothing-188,clothing,57.56,316
189,books-189,books,58.93,323
190,home-190,home,60.30,330
191,toys-191,toys,61.67,337
192,food-192,food,63.04,344
193,electronics-193,electronics,64.41,351
194,clothing-194,clothing,65.78,358
195,books-195,books,67.15,365
196,home-196,home,68.52,372
197,toys-197,toys,69.89,379
198,food-198,food,71.26,386
199,electronics-199,electronics,72.63,393
200,clothing-200,clothing,74.00,400
201,books-201,books,75.37,407
202,home-202,home,76.74,414
203,toys-203,toys,78.11,421
204,food-204,food,79.48,428
205,electronics-205,electronics,80.85,435
206,clothing-206,clothing,82.22,442
207,books-207,books,83.59,449
208,home-208,home,84.96,456
209,toys-209,toys,86.33,463
210,food-210,food,87.70,470
211,electronics-211,electronics,89.07,477
212,clothing-212,clothing,90.44,484
213,books-213,books,91.81,491
214,home-214,home,93.18,498
215,toys-215,toys,94.55,5
216,food-216,food,95.92,12
217,electronics-217,electronics,97.29,19
218,clothing-218,clothing,98.66,26
219,books-219,books,0.03,33
220,home-220,home,1.40,40
221,toys-221,toys,2.77,47
222,food-222,food,4.14,54
223,electronics-223,electronics,5.51,61
224,clothing-224,clothing,6.88,68
225,books-225,books,8.25,75
226,home-226,home,9.62,82
227,toys-227,toys,10.99,89
228,food-228,food,12.36,96
229,electronics-229,electronics,13.73,103
230,clothing-230,clothing,15.10,110
231,books-231,books,16.47,117
232,home-232,home,17.84,124
233,toys-233,toys,19.21,131
234,food-234,food,20.58,138
235,electronics-235,electronics,21.95,145
236,clothing-236,clothing,23.32,152
237,books-237,books,24.69,159
238,home-238,home,26.06,166
239,toys-239,toys,27.43,173
240,food-240,food,28.80,180
241,electronics-241,electronics,30.17,187
242,clothing-242,clothing,31.54,194
243,books-243,books,32.91,201
244,home-244,home,34.28,208
245,toys-245,toys,35.65,215
246,food-246,food,37.02,222
247,electronics-247,electronics,38.39,229
248,clothing-248,clothing,39.76,236
249,books-249,books,41.13,243
250,home-250,home,42.50,250
251,toys-251,toys,43.87,257
252,food-252,food,45.24,264
253,electronics-253,electronics,46.61,271
254,clothing-254,clothing,47.98,278
255,books-255,books,49.35,285
256,home-256,home,50.72,292
257,toys-257,toys,52.09,299
258,food-258,food,53.46,306
259,electronics-259,electronics,54.83,313
260,clothing-260,clothing,56.20,320
261,books-261,books,57.57,327
262,home-262,home,58.94,334
263,toys-263,toys,60.31,341
264,food-264,food,61.68,348
265,electronics-265,electronics,63.05,355
266,clothing-266,clothing,64.42,362
267,books-267,books,65.79,369
268,home-268,home,67.16,376
269,toys-269,toys,68.53,383
270,food-270,food,69.90,390
271,electronics-271,electronics,71.27,397
272,clothing-272,clothing,72.64,404
273,books-273,books,74.01,411
274,home-274,home,75.38,418
275,toys-275,toys,76.75,425
276,food-276,food,78.12,432
277,electronics-277,electronics,79.49,439
278,clothing-278,clothing,80.86,446
279,books-279,books,82.23,453
280,home-280,home,83.60,460
281,toys-281,toys,84.97,467
282,food-282,food,86.34,474
283,electronics-283,electronics,87.71,481
284,clothing-284,clothing,89.08,488
285,books-285,books,90.45,495
286,home-286,home,91.82,2
287,toys-287,toys,93.19,9
288,food-288,food,94.56,16
289,electronics-289,electronics,95.93,23
290,clothing-290,clothing,97.30,30
291,books-291,books,98.67,37
292,home-292,home,0.04,44
293,toys-293,toys,1.41,51
294,food-294,food,2.78,58
295,electronics-295,electronics,4.15,65
296,clothing-296,clothing,5.52,72
297,books-297,books,6.89,79
298,home-298,home,8.26,86
299,toys-299,toys,9.63,93
300,food-300,food,11.00,100
301,electronics-301,electronics,12.37,107
302,clothing-302,clothing,13.74,114
303,books-303,books,15.11,121
304,home-304,home,16.48,128
305,toys-305,toys,17.85,135
306,food-306,food,19.22,142
307,electronics-307,electronics,20.59,149
308,clothing-308,clothing,21.96,156
309,books-309,books,23.33,163
310,home-310,home,24.70,170
311,toys-311,toys,26.07,177
312,food-312,food,27.44,184
313,electronics-313,electronics,28.81,191
314,clothing-314,clothing,30.18,198
315,books-315,books,31.55,205
316,home-316,home,32.92,212
317,toys-317,toys,34.29,219
318,food-318,food,35.66,226
319,electronics-319,electronics,37.03,233
320,clothing-320,clothing,38.40,240
321,books-321,books,39.77,247
322,home-322,home,41.14,254
323,toys-323,toys,42.51,261
324,food-324,food,43.88,268
325,electronics-325,electronics,45.25,275
326,clothing-326,clothing,46.62,282
327,books-327,books,47.99,289
328,home-328,home,49.36,296
329,toys-329,toys,50.73,303
330,food-330,food,52.10,310
331,electronics-331,electronics,53.47,317
332,clothing-332,clothing,54.84,324
333,books-333,books,56.21,331
334,home-334,home,57.58,338
335,toys-335,toys,58.95,345
336,food-336,food,60.32,352
337,electronics-337,electronics,61.69,359
338,clothing-338,clothing,63.06,366
339,books-339,books,64.43,373
340,home-340,home,65.80,380
341,toys-341,toys,67.17,387
342,food-342,food,68.54,394
343,electronics-343,electronics,69.91,401
344,clothing-344,clothing,71.28,408
345,books-345,books,72.65,415
346,home-346,home,74.02,422
347,toys-347,toys,75.39,429
348,food-348,food,76.76,436
349,electronics-349,electronics,78.13,443
350,clothing-350,clothing,79.50,450
351,books-351,books,80.87,457
352,home-352,home,82.24,464
353,toys-353,toys,83.61,471
354,food-354,food,84.98,478
355,electronics-355,electronics,86.35,485
356,clothing-356,clothing,87.72,492
357,books-357,books,89.09,499
358,home-358,home,90.46,6
359,toys-359,toys,91.83,13
360,food-360,food,93.20,20
361,electronics-361,electronics,94.57,27
362,clothing-362,clothing,95.94,34
363,books-363,books,97.31,41
364,home-364,home,98.68,48
365,toys-365,toys,0.05,55
366,food-366,food,1.42,62
367,electronics-367,electronics,2.79,69
368,clothing-368,clothing,4.16,76
369,books-369,books,5.53,83
370,home-370,home,6.90,90
371,toys-371,toys,8.27,97
372,food-372,food,9.64,104
373,electronics-373,electronics,11.01,111
374,clothing-374,clothing,12.38,118
375,books-375,books,13.75,125
376,home-376,home,15.12,132
377,toys-377,toys,16.49,139
378,food-378,food,17.86,146
379,electronics-379,electronics,19.23,153
380,clothing-380,clothing,20.60,160
381,books-381,books,21.97,167
382,home-382,home,23.34,174
383,toys-383,toys,24.71,181
384,food-384,food,26.08,188
385,electronics-385,electronics,27.45,195
386,clothing-386,clothing,28.82,202
387,books-387,books,30.19,209
388,home-388,home,31.56,216
389,toys-389,toys,32.93,223
390,food-390,food,34.30,230
391,electronics-391,electronics,35.67,237
392,clothing-392,clothing,37.04,244
393,books-393,books,38.41,251
394,home-394,home,39.78,258
395,toys-395,toys,41.15,265
396,food-396,food,42.52,272
397,electronics-397,electronics,43.89,279
398,clothing-398,clothing,45.26,286
399,books-399,books,46.63,293
400,home-400,home,48.00,300
401,toys-401,toys,49.37,307
402,food-402,food,50.74,314
403,electronics-403,electronics,52.11,321
404,clothing-404,clothing,53.48,328
405,books-405,books,54.85,335
406,home-406,home,56.22,342
407,toys-407,toys,57.59,349
408,food-408,food,58.96,356
409,electronics-409,electronics,60.33,363
410,clothing-410,clothing,61.70,370
411,books-411,books,63.07,377
412,home-412,home,64.44,384
413,toys-413,toys,65.81,391
414,food-414,food,67.18,398
415,electronics-415,electronics,68.55,405
416,clothing-416,clothing,69.92,412
417,books-417,books,71.29,419
418,home-418,home,72.66,426
419,toys-419,toys,74.03,433
420,food-420,food,75.40,440
421,electronics-421,electronics,76.77,447
422,clothing-422,clothing,78.14,454
423,books-423,books,79.51,461
424,home-424,home,80.88,468
425,toys-425,toys,82.25,475
426,food-426,food,83.62,482
427,electronics-427,electronics,84.99,489
428,clothing-428,clothing,86.36,496
